Trace Path2
X(mm), Y(mm), Z(mm)
17.7000000000001, 71.8864627267157, 136.237554372936
17.7000024355103, 71.9427065100554, 136.103771627
17.7000023530109, 72.12101049367, 135.851217412843
17.700002096976, 72.4155042608749, 135.519113001087
17.7000017511923, 72.82247790757, 135.061545616607
17.700001344859, 73.3394148666647, 134.57151648977
17.70000094186, 73.960792038125, 134.178323228173
17.7000005628226, 74.6803196772567, 133.868456844268
17.7000002174546, 75.491658728214, 133.66090079892
17.6999999466005, 76.3869216839283, 133.657400638944
17.6999997607693, 77.3616670304604, 133.83887677973
17.6999996305128, 78.4138780849974, 134.124986433315
17.6999995474384, 79.5403711483755, 134.528509798091
17.699999501702, 80.7389397478216, 135.019993489469
17.6999994437402, 82.006185674419, 135.472089815228
17.6999993347861, 83.336145831799, 135.832466809551
17.699999164316, 84.722652959358, 136.09795490298
17.6999989039694, 86.158002357161, 136.18774438759
17.6999985264599, 87.635196353134, 136.05414918253
17.6999980449021, 89.1507774045592, 135.750264672261
17.6999974774864, 90.7015054788519, 135.295640798386
17.6999968314251, 92.2843788136411, 134.686985308518
17.6999961413289, 93.897097280788, 134.009118407252
17.6999954558411, 95.535024773798, 133.350412040114
17.6999947998002, 97.1919525248354, 132.72956717197
17.6999941963811, 98.8607345494995, 132.195497470208
17.6999936793848, 100.533259996151, 131.821784502559
17.6999932578188, 102.203510899932, 131.602222947036
17.6999929190955, 103.867244830747, 131.503463276027
17.6999926583302, 105.520429039874, 131.529068586559
17.6999924605729, 107.16002726785, 131.638499951999
17.6999922875505, 108.782104581039, 131.74152890527
17.6999921073866, 110.380601209804, 131.790877933304
17.699991899031, 111.948333431231, 131.754377659936
17.6999916321767, 113.476692348279, 131.563265969992
17.6999912840948, 114.95749333267, 131.183688210105
17.699990857646, 116.384810888864, 130.639209890697
17.6999903618751, 117.753618753464, 129.940627122699
17.6999898082376, 119.059882397167, 129.105276511589
17.6999892283329, 120.300151503094, 128.20689201139
17.699988661412, 121.469266049201, 127.31982011142
17.6999881354531, 122.560366171108, 126.48767871554
17.6999876782138, 123.565111570015, 125.773877550661
17.6999873188188, 124.474098053624, 125.244587795209
17.6999870691492, 125.2792353317, 124.914572802087
17.6999869279099, 125.974095191258, 124.779800451273
17.6999868937996, 126.55333913439, 124.843175637129
17.6999869548807, 127.013203685901, 125.070005001336
17.699987083989, 127.349958863315, 125.394146900601
17.6999872544271, 127.55836091965, 125.767686448026
17.6999874414824, 127.631890178246, 126.144351363271
