Trace Path3
X(mm), Y(mm), Z(mm)
10.9999999999997, 139.510972842825, 67.4337876487252
11.0000001231115, 139.541263094557, 67.4365608261951
11.0000001279552, 139.632660205965, 67.4405535126101
11.000000127686, 139.782031912426, 67.4467350116884
11.0000001283321, 139.98694556242, 67.454678115421
11.0000001298548, 140.245026856779, 67.4637958536399
11.0000001304607, 140.553927286956, 67.4734124391558
11.000000130944, 140.911320575008, 67.4827755465473
11.0000001324289, 141.314897145464, 67.4910745822188
11.0000001334557, 141.762358777378, 67.4974584362708
11.0000001337609, 142.251415054315, 67.5010471236878
11.0000001347965, 142.779779374955, 67.5009450342709
11.0000001360308, 143.345163975578, 67.4962574085489
11.0000001364316, 143.945276473736, 67.4861017556561
11.0000001371495, 144.577817030995, 67.4696174201413
11.0000001386046, 145.240474149679, 67.4459796566537
11.0000001395888, 145.930921263304, 67.4144112644441
11.0000001405117, 146.646814746161, 67.3741897516144
11.000000142345, 147.385790927861, 67.3246578301502
11.0000001442303, 148.145462782141, 67.2652349956449
11.0000001457355, 148.92341818416, 67.1954240836348
11.0000001478535, 149.717218001061, 67.1148184609219
11.0000001503366, 150.524393017174, 67.0231128906131
11.0000001522918, 151.342442088823, 66.9201105726335
11.000000154302, 152.168831178059, 66.8057275646567
11.0000001567359, 153.000991134935, 66.6800011769111
11.0000001587496, 153.836315858455, 66.5430972412692
11.0000001603922, 154.672161931203, 66.3953128047591
11.0000001623584, 155.50584747453, 66.237081208632
11.000000164225, 156.33465032318, 66.0689791535729
11.0000001655892, 157.155807689144, 65.8917290385786
11.0000001671252, 157.966516046783, 65.7062005189474
11.0000001689451, 158.763929885944, 65.5134153695752
11.0000001704649, 159.54516158538, 65.3145487508974
11.0000001720341, 160.307282631256, 65.110926155967
11.0000001741112, 161.047324023699, 64.9040225437343
11.0000001761918, 161.762277037053, 64.6954600157807
11.0000001781636, 162.449095901903, 64.4869991541805
11.0000001805277, 163.104700531637, 64.2805296836849
11.0000001830062, 163.725978952991, 64.0780614211017
11.0000001851636, 164.309791722483, 63.8817085281166
11.0000001873687, 164.85297763374, 63.6936691615672
11.0000001896026, 165.352359106979, 63.5162053718445
11.000000191463, 165.804749030716, 63.3516178433161
11.0000001930187, 166.206959640515, 63.2022136592166
11.000000194573, 166.555811320428, 63.0702735218537
11.0000001958175, 166.848141751879, 62.9580171739255
11.0000001966929, 167.080816946731, 62.8675624252033
11.0000001974726, 167.25074261977, 62.8008826413334
11.0000001982252, 167.354874958232, 62.7597657576501
11.0000001987116, 167.390232438958, 62.7457700316256
