"G4EZ"
"Time (sec)","Acceleration3 (mm/sec**2)"
0,0.0302925430686235
0.04,-78.5400693614428
0.08,-26.402558827408
0.12,-103.299431021362
0.16,-36.0378144314897
0.2,86.4875182777576
0.24,48.7137461855379
0.28,40.3165189237436
0.32,145.33853915432
0.36,133.369179227834
0.4,48.7137517626954
0.44,79.7093248285383
0.48,84.831888452524
0.52,-25.3442026965724
0.56,-60.0559747079721
0.6,-30.1499502189151
0.64,-94.657410835914
0.68,-145.468817346331
0.72,-87.4396339104564
0.76,-69.3838578867986
0.8,-97.9145365640659
0.84,-35.8822311939913
0.88,39.0743587370309
0.92,31.9668861462036
0.96,55.4080483974257
1,123.749967210687
1.04,115.181638422883
1.08,77.0273423903686
1.12,93.4747839775991
1.16,75.8607188686504
1.2,0.545038752345363
1.24,-28.2545404350382
1.28,-35.0300144886152
1.32,-90.9712302228612
1.36,-123.024196219186
1.4,-96.6945074318613
1.44,-93.170239050365
1.48,-98.2755605339004
1.52,-47.2582096814315
1.56,4.45419521845295
1.6,17.7138840858145
1.64,54.0472134009076
1.68,103.972922207392
1.72,105.149978012325
1.76,92.7146509767276
1.8,100.686414680133
1.84,77.4915538767292
1.88,23.8190411262561
1.92,-5.32578499533574
1.96,-30.6277686065507
2,-79.956288701221
2.04,-107.166814562844
2.08,-101.90220385475
2.12,-105.541836602413
2.16,-101.638607530722
2.2,-61.7489552287234
2.24,-21.7158358924419
2.28,3.4142894024895
2.32,44.3646355848077
2.36,86.3084565034927
2.4,97.6652973702589
2.44,100.288637512349
2.48,105.335482379219
2.52,84.269527330407
2.56,44.4582678234122
2.6,14.2881331436594
2.64,-19.5258679447052
2.68,-64.7496783246816
2.72,-92.9625741808841
2.76,-101.768070101455
2.8,-110.331733372827
2.84,-105.299086511523
2.88,-75.2374088371808
2.92,-41.9669718764686
2.96,-11.0294691724781
3,30.9993656168949
3.04,70.3206352239359
3.08,90.3937858861141
3.12,102.786455126319
3.16,108.849977612824
3.2,93.1562695141946
3.24,63.0697057395513
3.28,33.1009831871305
3.32,-3.72367176816816
3.36,-46.5690092320525
3.4,-77.7002226748118
3.44,-96.1975515508544
3.48,-109.313752498816
3.52,-107.238844587827
3.56,-85.7709781062882
3.6,-57.6020330034159
3.64,-24.9539274950539
3.68,16.5106784871323
3.72,55.5270564058185
3.76,82.476224122993
3.8,101.986934666448
3.84,111.469268766903
3.88,102.363455074737
3.92,80.0220456089679
3.96,51.8621937208654
4,15.1331975120162
4.04,-26.1411286329898
4.08,-60.3132559929238
4.12,-85.7731832732688
4.16,-103.56293960254
4.2,-106.449668846772
4.24,-92.7735772488766
4.28,-69.5399013813085
4.32,-37.9609691902401
4.36,1.90845326942704
4.4,41.1854908285874
4.44,73.2338277578689
4.48,98.3519599109634
4.52,112.450819134563
4.56,110.215750255603
4.6,94.7531251529249
4.64,69.8074824690979
4.68,35.0152502648669
4.72,-4.82283380360227
4.76,-41.4292951349741
4.8,-72.0926613327232
4.84,-94.6712888719279
4.88,-103.433229099462
4.92,-97.1575066286357
4.96,-79.3242085502548
5,-50.7995510853353
